1.853, 2.936, 0.904, 31, 1592574751453
1.844, 2.943, 0.927, 32, 1592574751599
1.84, 2.95, 0.939, 33, 1592574751746
1.844, 2.953, 0.933, 33, 1592574751794
1.845, 2.953, 0.928, 33, 1592574751896
1.837, 2.944, 0.919, 32, 1592574751991
1.831, 2.938, 0.921, 31, 1592574752088
1.826, 2.949, 0.88, 35, 1592574752186
1.827, 2.943, 0.882, 32, 1592574752283
1.821, 2.936, 0.92, 31, 1592574752380
1.827, 2.958, 0.92, 34, 1592574752479
1.829, 2.971, 0.891, 35, 1592574752575
1.811, 2.966, 0.896, 32, 1592574752674
1.798, 2.962, 0.92, 32, 1592574752771
1.792, 2.942, 0.924, 30, 1592574752867
1.802, 2.958, 0.925, 34, 1592574752966
1.805, 2.939, 0.934, 30, 1592574753064
1.804, 2.941, 0.933, 32, 1592574753160
1.808, 2.919, 0.961, 30, 1592574753258
1.829, 2.949, 0.944, 35, 1592574753356
1.83, 2.936, 0.943, 31, 1592574753453
1.826, 2.939, 0.948, 32, 1592574753604
1.832, 2.968, 0.967, 35, 1592574753697
1.819, 2.948, 0.966, 30, 1592574753798
1.815, 2.945, 0.969, 32, 1592574753892
1.817, 2.934, 0.966, 31, 1592574753989
1.817, 2.941, 0.954, 33, 1592574754087
1.815, 2.943, 0.928, 33, 1592574754188
1.818, 2.945, 0.927, 32, 1592574754282
1.815, 2.92, 0.931, 29, 1592574754383
1.807, 2.949, 0.93, 35, 1592574754480
1.809, 2.936, 0.911, 31, 1592574754575
1.817, 2.967, 0.932, 35, 1592574754675
1.808, 2.939, 0.967, 31, 1592574754769
1.84, 3.007, 0.862, 42, 1592574754867
1.845, 3.009, 0.849, 35, 1592574754969
1.842, 2.988, 0.869, 32, 1592574755062
1.843, 2.973, 0.893, 31, 1592574755164
1.847, 2.954, 0.913, 30, 1592574755261
1.843, 2.935, 0.922, 30, 1592574755355
1.821, 2.904, 0.921, 28, 1592574755506
1.821, 2.897, 0.932, 30, 1592574755602
1.803, 2.917, 0.942, 59, 1592574755695
1.8, 2.907, 0.958, 29, 1592574755794
1.805, 2.901, 0.962, 30, 1592574755891
1.793, 2.887, 0.956, 29, 1592574755992
1.797, 2.886, 0.951, 30, 1592574756090
1.801, 2.905, 0.936, 33, 1592574756184
