1.17, 2.68, 1.48|1.17, 2.68, 1.52
1.17, 2.69, 1.49|1.17, 2.69, 1.52
1.17, 2.69, 1.50|1.18, 2.70, 1.52
1.19, 2.68, 1.46|1.19, 2.70, 1.52
1.18, 2.69, 1.49|1.19, 2.71, 1.52
1.17, 2.68, 1.51|1.18, 2.69, 1.52
1.16, 2.69, 1.57|1.17, 2.69, 1.52
1.16, 2.67, 1.57|1.17, 2.69, 1.53
1.13, 2.71, 1.67|1.16, 2.71, 1.54
1.13, 2.71, 1.68|1.15, 2.72, 1.55
1.15, 2.70, 1.60|1.15, 2.71, 1.56
1.12, 2.74, 1.69|1.14, 2.73, 1.57
1.13, 2.75, 1.67|1.13, 2.75, 1.58
1.12, 2.75, 1.71|1.13, 2.75, 1.59
1.12, 2.74, 1.71|1.12, 2.75, 1.60
1.13, 2.72, 1.61|1.13, 2.74, 1.61
1.11, 2.76, 1.70|1.12, 2.75, 1.62
1.08, 2.78, 1.77|1.11, 2.77, 1.63
1.11, 2.75, 1.67|1.11, 2.77, 1.64
1.13, 2.72, 1.57|1.12, 2.76, 1.65
1.16, 2.69, 1.50|1.14, 2.72, 1.64
1.16, 2.68, 1.53|1.15, 2.71, 1.64
1.15, 2.70, 1.58|1.15, 2.71, 1.64
1.17, 2.67, 1.51|1.16, 2.69, 1.64
1.12, 2.73, 1.65|1.15, 2.70, 1.64
1.11, 2.71, 1.65|1.14, 2.71, 1.65
1.11, 2.70, 1.61|1.13, 2.70, 1.65
1.12, 2.71, 1.63|1.13, 2.71, 1.65
1.12, 2.69, 1.60|1.12, 2.70, 1.64
1.16, 2.65, 1.85|1.14, 2.67, 1.67
1.14, 2.66, 1.82|1.14, 2.67, 1.69
1.16, 2.65, 1.75|1.15, 2.67, 1.70
1.21, 2.83, 1.57|1.17, 2.73, 1.69
1.18, 2.78, 1.60|1.18, 2.76, 1.69
1.19, 2.70, 1.54|1.18, 2.75, 1.67
1.20, 2.64, 1.50|1.19, 2.71, 1.66
1.19, 2.58, 1.49|1.19, 2.62, 1.66
1.20, 2.55, 1.50|1.20, 2.57, 1.64
1.19, 2.50, 1.47|1.20, 2.53, 1.63
1.19, 2.44, 1.44|1.20, 2.47, 1.61
1.20, 2.41, 1.48|1.20, 2.43, 1.60
1.21, 2.36, 1.47|1.22, 2.39, 1.59
1.22, 2.32, 1.46|1.23, 2.35, 1.57
1.21, 2.30, 1.53|1.22, 2.31, 1.56
1.18, 2.25, 1.52|1.21, 2.27, 1.55
1.17, 2.20, 1.50|1.18, 2.21, 1.55
1.14, 2.16, 1.50|1.16, 2.17, 1.55
1.11, 2.14, 1.58|1.13, 2.13, 1.54
1.08, 2.13, 1.67|1.09, 2.12, 1.56
1.04, 2.11, 1.75|1.06, 2.10, 1.58
1.04, 2.09, 1.80|1.04, 2.08, 1.60
1.04, 2.03, 1.77|1.03, 2.04, 1.61
1.04, 1.99, 1.75|1.03, 2.00, 1.62
1.07, 1.93, 1.70|1.05, 1.94, 1.63
1.08, 1.89, 1.67|1.06, 1.89, 1.64
1.09, 1.84, 1.66|1.08, 1.84, 1.65
1.08, 1.81, 1.72|1.08, 1.81, 1.66
1.06, 1.79, 1.77|1.07, 1.78, 1.67
1.06, 1.74, 1.82|1.07, 1.73, 1.69
1.05, 1.70, 1.86|1.06, 1.69, 1.71
1.05, 1.67, 1.89|1.06, 1.66, 1.72
1.07, 1.63, 1.88|1.07, 1.62, 1.74
1.04, 1.60, 1.89|1.05, 1.59, 1.75
1.04, 1.52, 1.90|1.05, 1.53, 1.77
1.03, 1.48, 1.92|1.04, 1.48, 1.79
1.01, 1.44, 1.93|1.02, 1.44, 1.81
1.00, 1.40, 1.95|1.01, 1.40, 1.83
1.00, 1.34, 1.96|1.00, 1.34, 1.84
0.99, 1.31, 1.99|0.99, 1.30, 1.87
1.00, 1.27, 2.01|0.99, 1.26, 1.88
1.00, 1.23, 1.96|0.99, 1.23, 1.89
1.01, 1.17, 1.98|1.00, 1.17, 1.91
1.05, 1.14, 2.07|1.03, 1.13, 1.93
1.10, 1.10, 2.11|1.08, 1.10, 1.96
1.11, 1.07, 2.16|1.10, 1.06, 1.98
1.10, 1.00, 2.07|1.10, 1.00, 2.00
1.10, 0.96, 2.08|1.09, 0.95, 2.02
1.10, 0.91, 2.03|1.10, 0.90, 2.03
1.11, 0.86, 1.99|1.10, 0.85, 2.04
1.09, 0.83, 1.93|1.10, 0.82, 2.04
1.10, 0.79, 1.91|1.10, 0.78, 2.04
1.13, 0.74, 1.84|1.13, 0.74, 2.04
1.13, 0.69, 1.79|1.13, 0.69, 2.03
1.12, 0.65, 1.79|1.12, 0.65, 2.03
1.14, 0.60, 1.82|1.13, 0.60, 2.02
1.17, 0.56, 1.69|1.15, 0.55, 2.00
1.19, 0.52, 1.79|1.17, 0.51, 2.00
1.21, 0.46, 1.89|1.19, 0.45, 2.00
1.29, 0.29, 2.08|1.25, 0.31, 2.02
1.31, 0.28, 2.09|1.29, 0.26, 2.03
1.31, 0.30, 2.08|1.30, 0.27, 2.04
1.31, 0.30, 2.10|1.31, 0.28, 2.05
1.33, 0.31, 2.11|1.32, 0.29, 2.06
1.36, 0.31, 2.13|1.35, 0.30, 2.07
1.40, 0.30, 2.15|1.40, 0.29, 2.09
1.44, 0.30, 2.16|1.44, 0.30, 2.11
1.48, 0.34, 2.18|1.48, 0.33, 2.13
1.53, 0.37, 2.22|1.52, 0.36, 2.14
1.51, 0.41, 2.08|1.52, 0.40, 2.15
1.53, 0.45, 2.01|1.53, 0.44, 2.15
1.58, 0.44, 2.03|1.57, 0.45, 2.15
1.65, 0.44, 2.03|1.63, 0.45, 2.15
1.64, 0.47, 1.93|1.64, 0.47, 2.14
