0.98, 1.12, 2.06 | 0.99, 1.12, 2.08 | -0.24, -0.90, -0.58 | -0.22, -0.90, -0.00
0.96, 1.11, 2.05 | 0.98, 1.11, 2.08 | -0.25, -0.64, -0.31 | -0.24, -0.65, -0.00
0.97, 1.11, 2.04 | 0.97, 1.10, 2.08 | 0.64, 0.27, 0.23 | 0.45, 0.25, -0.00
0.94, 1.11, 2.02 | 0.96, 1.09, 2.08 | 0.93, 0.11, -0.27 | 0.85, 0.11, -0.00
0.98, 1.13, 2.08 | 0.97, 1.10, 2.08 | 0.46, 0.18, 0.03 | 0.59, 0.18, -0.00
0.96, 1.12, 2.04 | 0.97, 1.10, 2.08 | 0.49, -0.05, 0.07 | 0.53, -0.04, -0.00
0.95, 1.11, 2.00 | 0.98, 1.09, 2.08 | 0.47, -0.22, 0.23 | 0.49, -0.22, -0.00
0.92, 1.13, 2.03 | 0.98, 1.09, 2.08 | 0.21, -0.05, 0.12 | 0.35, -0.07, -0.00
0.90, 1.12, 2.03 | 0.97, 1.09, 2.08 | 0.01, -0.16, 0.28 | 0.18, -0.16, -0.00
0.89, 1.11, 1.98 | 0.96, 1.09, 2.08 | -0.31, -0.00, -0.01 | -0.07, -0.01, -0.00
0.88, 1.11, 1.96 | 0.95, 1.09, 2.08 | 0.22, 0.18, -0.14 | 0.08, 0.16, -0.00
0.88, 1.11, 1.96 | 0.94, 1.09, 2.08 | 0.63, 0.21, 0.11 | 0.48, 0.21, -0.00
0.87, 1.11, 1.97 | 0.94, 1.09, 2.08 | 0.36, -0.02, 0.14 | 0.41, -0.01, -0.00
0.87, 1.12, 1.97 | 0.93, 1.10, 2.08 | 0.25, 0.25, 0.15 | 0.32, 0.24, -0.00
0.88, 1.12, 1.99 | 0.93, 1.10, 2.08 | -0.24, 0.09, -0.11 | 0.05, 0.10, -0.00
0.87, 1.12, 1.99 | 0.93, 1.11, 2.08 | 0.17, -0.19, 0.16 | 0.11, -0.17, -0.00
0.87, 1.11, 1.98 | 0.92, 1.11, 2.08 | -0.17, -0.29, 0.17 | -0.04, -0.28, -0.00
0.88, 1.11, 1.95 | 0.93, 1.11, 2.08 | 0.14, 0.14, 0.15 | 0.04, 0.09, -0.00
0.89, 1.11, 1.96 | 0.93, 1.10, 2.08 | 0.04, 0.00, -0.10 | 0.04, 0.03, -0.00
0.90, 1.10, 1.96 | 0.93, 1.10, 2.08 | 0.23, -0.09, 0.18 | 0.13, -0.08, -0.00
0.90, 1.09, 1.95 | 0.93, 1.09, 2.08 | -0.02, -0.27, 0.17 | 0.06, -0.26, -0.00
0.91, 1.09, 1.95 | 0.94, 1.09, 2.08 | 0.00, 0.02, 0.16 | 0.04, -0.04, -0.00
0.90, 1.09, 1.96 | 0.94, 1.08, 2.08 | -0.11, -0.11, 0.00 | -0.01, -0.09, -0.00
0.87, 1.10, 1.92 | 0.93, 1.08, 2.08 | 0.14, 0.23, -0.04 | 0.05, 0.19, -0.00
0.86, 1.12, 1.94 | 0.93, 1.09, 2.08 | 0.05, -0.08, 0.28 | 0.05, -0.06, -0.00
0.86, 1.11, 1.91 | 0.92, 1.09, 2.08 | -0.03, -0.23, 0.07 | 0.01, -0.20, -0.00
0.86, 1.11, 1.92 | 0.91, 1.09, 2.08 | -0.05, 0.13, -0.03 | -0.01, 0.04, -0.00
0.85, 1.12, 1.92 | 0.91, 1.09, 2.08 | 0.13, 0.14, -0.02 | 0.04, 0.12, -0.00
0.85, 1.11, 1.90 | 0.90, 1.09, 2.08 | -0.07, -0.05, 0.12 | 0.01, -0.01, -0.00
0.86, 1.11, 1.90 | 0.90, 1.09, 2.08 | 0.18, -0.12, 0.11 | 0.07, -0.11, -0.00
0.86, 1.09, 1.88 | 0.90, 1.09, 2.08 | 0.14, -0.07, 0.08 | 0.10, -0.08, -0.00
0.86, 1.09, 1.90 | 0.89, 1.09, 2.08 | 0.22, -0.07, 0.21 | 0.15, -0.07, -0.00
0.86, 1.09, 1.91 | 0.89, 1.08, 2.08 | 0.05, -0.08, 0.03 | 0.12, -0.08, -0.00
0.86, 1.10, 1.90 | 0.89, 1.08, 2.08 | 0.13, 0.10, 0.19 | 0.12, 0.08, -0.00
0.87, 1.08, 1.89 | 0.89, 1.08, 2.08 | -0.03, -0.03, -0.03 | 0.08, 0.02, -0.00
0.88, 1.09, 1.89 | 0.90, 1.07, 2.08 | 0.05, 0.04, 0.03 | 0.07, 0.03, -0.00
0.89, 1.09, 1.89 | 0.90, 1.07, 2.08 | 0.01, 0.13, 0.02 | 0.06, 0.10, -0.00
0.89, 1.08, 1.90 | 0.90, 1.07, 2.08 | -0.34, -0.05, -0.06 | -0.13, -0.04, -0.00
0.88, 1.07, 1.89 | 0.91, 1.07, 2.08 | 0.06, 0.13, 0.17 | -0.05, 0.11, -0.00
0.88, 1.10, 1.90 | 0.91, 1.07, 2.08 | -0.08, -0.06, -0.03 | -0.06, -0.00, -0.00
0.89, 1.11, 1.90 | 0.91, 1.08, 2.08 | -0.00, 0.03, 0.15 | -0.04, 0.02, -0.00
0.92, 1.13, 1.99 | 0.91, 1.09, 2.08 | 0.11, 0.05, 0.08 | 0.00, 0.04, -0.00
0.90, 1.15, 2.00 | 0.91, 1.10, 2.08 | -0.11, 0.06, 0.03 | -0.03, 0.05, -0.00
0.90, 1.12, 1.99 | 0.92, 1.10, 2.08 | -0.06, -0.04, 0.16 | -0.04, -0.02, -0.00
0.89, 1.11, 1.97 | 0.91, 1.10, 2.08 | -0.29, 0.07, -0.24 | -0.16, 0.07, -0.00
0.89, 1.09, 1.95 | 0.91, 1.10, 2.08 | 0.10, -0.06, 0.21 | -0.05, -0.05, -0.00
0.89, 1.09, 1.95 | 0.91, 1.10, 2.08 | -0.01, 0.12, 0.14 | -0.03, 0.09, -0.00
0.90, 1.08, 1.98 | 0.91, 1.10, 2.08 | 0.04, -0.03, 0.08 | -0.01, 0.01, -0.00
0.90, 1.08, 1.96 | 0.90, 1.10, 2.08 | -0.30, -0.13, 0.08 | -0.14, -0.12, -0.00
0.90, 1.09, 1.96 | 0.90, 1.10, 2.08 | -0.31, 0.16, -0.09 | -0.23, 0.14, -0.00
0.90, 1.09, 1.97 | 0.90, 1.10, 2.08 | -0.16, -0.01, 0.11 | -0.20, 0.02, -0.00
0.90, 1.08, 1.96 | 0.89, 1.09, 2.08 | -0.05, -0.02, 0.09 | -0.15, -0.01, -0.00
0.89, 1.08, 1.95 | 0.89, 1.09, 2.08 | 0.10, -0.04, 0.12 | -0.07, -0.03, -0.00
0.89, 1.07, 1.95 | 0.89, 1.09, 2.08 | 0.17, -0.04, 0.19 | 0.02, -0.04, -0.00
0.89, 1.07, 1.95 | 0.88, 1.08, 2.08 | 0.01, -0.09, 0.09 | 0.02, -0.07, -0.00
0.89, 1.06, 1.94 | 0.88, 1.08, 2.08 | 0.00, -0.05, 0.11 | 0.01, -0.05, -0.00
0.89, 1.06, 1.93 | 0.88, 1.08, 2.08 | 0.05, 0.02, 0.03 | 0.02, -0.01, -0.00
0.90, 1.08, 1.95 | 0.88, 1.07, 2.08 | 0.09, -0.01, 0.07 | 0.04, -0.01, -0.00
0.89, 1.08, 1.94 | 0.88, 1.07, 2.08 | 0.28, -0.07, 0.31 | 0.17, -0.06, -0.00
0.88, 1.08, 1.92 | 0.88, 1.07, 2.08 | 0.05, 0.11, -0.11 | 0.12, 0.07, -0.00
0.89, 1.07, 1.90 | 0.88, 1.07, 2.08 | -0.15, -0.06, 0.10 | 0.02, -0.03, -0.00
0.89, 1.08, 1.89 | 0.88, 1.07, 2.08 | -0.03, 0.05, 0.10 | 0.01, 0.02, -0.00
0.88, 1.08, 1.88 | 0.88, 1.07, 2.08 | 0.05, -0.10, 0.14 | 0.02, -0.08, -0.00
0.88, 1.07, 1.89 | 0.88, 1.07, 2.08 | 0.16, 0.03, 0.06 | 0.07, 0.00, -0.00
0.93, 1.10, 1.97 | 0.89, 1.07, 2.08 | -0.07, 0.06, 0.01 | 0.03, 0.04, -0.00
0.91, 1.10, 1.97 | 0.89, 1.08, 2.08 | -0.06, -0.37, 0.33 | -0.02, -0.36, -0.00
0.91, 1.09, 1.95 | 0.90, 1.08, 2.08 | 0.10, -0.02, 0.07 | 0.03, -0.12, -0.00
0.90, 1.08, 1.93 | 0.90, 1.08, 2.08 | 0.16, 0.08, -0.05 | 0.07, 0.04, -0.00
0.90, 1.08, 1.93 | 0.90, 1.07, 2.08 | -0.03, -0.23, 0.16 | 0.03, -0.20, -0.00
0.89, 1.09, 1.91 | 0.90, 1.07, 2.07 | -0.11, -0.04, 0.12 | -0.02, -0.07, -0.00
0.89, 1.10, 1.92 | 0.90, 1.07, 2.07 | 0.01, -0.26, 0.24 | -0.00, -0.25, -0.00
0.89, 1.09, 1.92 | 0.90, 1.07, 2.07 | -0.09, 0.02, -0.03 | -0.03, -0.07, -0.00
0.89, 1.09, 1.91 | 0.90, 1.07, 2.07 | 0.08, -0.07, 0.09 | 0.00, -0.07, -0.00
0.90, 1.08, 1.91 | 0.90, 1.07, 2.07 | 0.26, -0.03, 0.16 | 0.12, -0.04, -0.00
0.90, 1.07, 1.92 | 0.91, 1.06, 2.07 | 0.39, 0.06, 0.16 | 0.28, 0.05, -0.00
0.91, 1.06, 1.93 | 0.91, 1.05, 2.07 | -0.06, -0.08, -0.10 | 0.14, -0.05, -0.00
0.91, 1.07, 1.93 | 0.92, 1.05, 2.07 | 0.13, -0.12, 0.19 | 0.13, -0.11, -0.00
0.89, 1.07, 1.91 | 0.92, 1.05, 2.07 | 0.27, 0.02, 0.17 | 0.20, 0.01, -0.00
0.89, 1.08, 1.89 | 0.92, 1.05, 2.07 | 0.06, 0.07, -0.06 | 0.15, 0.06, -0.00
0.90, 1.08, 1.90 | 0.92, 1.05, 2.07 | 0.06, 0.10, -0.00 | 0.12, 0.08, -0.00
0.90, 1.08, 1.91 | 0.93, 1.05, 2.07 | -0.05, -0.16, 0.21 | 0.05, -0.13, -0.00
0.90, 1.08, 1.94 | 0.93, 1.05, 2.07 | -0.20, -0.12, 0.10 | -0.05, -0.12, -0.00
