1.25, 2.26, 1.57|1.24, 2.26, 1.58
1.25, 2.25, 1.55|1.25, 2.25, 1.58
1.25, 2.25, 1.56|1.25, 2.25, 1.58
1.25, 2.26, 1.55|1.25, 2.26, 1.59
1.25, 2.26, 1.54|1.25, 2.27, 1.60
1.24, 2.26, 1.56|1.24, 2.27, 1.62
1.24, 2.27, 1.57|1.24, 2.28, 1.64
1.23, 2.27, 1.58|1.24, 2.28, 1.65
1.28, 2.41, 1.43|1.25, 2.35, 1.66
1.24, 2.40, 1.50|1.25, 2.39, 1.68
1.23, 2.37, 1.53|1.24, 2.40, 1.69
1.23, 2.34, 1.54|1.24, 2.39, 1.71
1.22, 2.32, 1.52|1.24, 2.38, 1.73
1.23, 2.28, 1.55|1.23, 2.36, 1.75
1.19, 2.28, 1.62|1.22, 2.32, 1.77
1.19, 2.25, 1.56|1.21, 2.30, 1.79
1.18, 2.22, 1.54|1.19, 2.28, 1.80
1.18, 2.20, 1.52|1.18, 2.25, 1.81
1.17, 2.18, 1.53|1.17, 2.23, 1.82
1.17, 2.18, 1.56|1.17, 2.22, 1.82
1.17, 2.15, 1.57|1.15, 2.19, 1.81
1.18, 2.11, 1.59|1.14, 2.14, 1.80
1.19, 2.07, 1.58|1.16, 2.09, 1.79
1.18, 2.07, 1.69|1.17, 2.08, 1.80
1.17, 2.06, 1.73|1.18, 2.06, 1.84
1.16, 2.03, 1.75|1.18, 2.04, 1.88
1.19, 1.97, 1.73|1.18, 1.99, 1.89
1.18, 1.93, 1.76|1.19, 1.95, 1.91
1.17, 1.90, 1.77|1.19, 1.91, 1.90
1.17, 1.85, 1.79|1.19, 1.86, 1.89
1.19, 1.76, 1.77|1.19, 1.78, 1.90
1.16, 1.73, 1.80|1.18, 1.74, 1.90
1.18, 1.70, 1.88|1.18, 1.70, 1.94
1.15, 1.65, 1.89|1.18, 1.65, 1.97
1.15, 1.60, 1.91|1.17, 1.59, 2.00
1.14, 1.55, 1.94|1.17, 1.54, 2.02
1.13, 1.50, 1.97|1.16, 1.49, 2.04
1.13, 1.47, 1.99|1.15, 1.46, 2.05
1.13, 1.41, 2.00|1.15, 1.41, 2.05
1.13, 1.35, 2.00|1.15, 1.35, 2.08
1.14, 1.30, 2.02|1.15, 1.30, 2.11
1.15, 1.25, 1.99|1.16, 1.25, 2.12
1.19, 1.21, 2.00|1.17, 1.20, 2.14
1.22, 1.17, 1.99|1.18, 1.15, 2.15
1.20, 1.11, 1.93|1.19, 1.10, 2.16
1.21, 1.08, 1.91|1.20, 1.06, 2.15
1.25, 1.07, 1.98|1.22, 1.05, 2.15
1.22, 1.02, 1.93|1.22, 1.01, 2.12
1.22, 0.93, 1.92|1.22, 0.95, 2.12
1.20, 0.84, 1.89|1.21, 0.86, 2.13
1.18, 0.80, 1.82|1.19, 0.80, 2.13
1.16, 0.76, 1.76|1.18, 0.75, 2.11
1.13, 0.73, 1.73|1.17, 0.71, 2.09
1.14, 0.70, 1.77|1.15, 0.68, 2.07
1.12, 0.67, 1.73|1.11, 0.66, 2.04
1.14, 0.64, 1.75|1.08, 0.63, 2.01
1.16, 0.62, 1.75|1.06, 0.60, 2.00
1.17, 0.59, 1.76|1.07, 0.58, 1.98
1.22, 0.55, 1.79|1.08, 0.54, 1.97
1.28, 0.51, 1.80|1.11, 0.50, 1.95
1.30, 0.46, 1.86|1.12, 0.45, 1.96
1.34, 0.44, 1.93|1.14, 0.41, 1.97
1.37, 0.43, 1.95|1.17, 0.40, 1.97
1.41, 0.42, 2.00|1.20, 0.40, 1.99
1.45, 0.42, 1.94|1.23, 0.40, 1.99
1.50, 0.43, 1.91|1.26, 0.42, 1.97
1.56, 0.41, 1.97|1.33, 0.41, 1.95
1.54, 0.41, 1.90|1.39, 0.41, 1.94
1.58, 0.43, 1.83|1.44, 0.42, 1.95
1.65, 0.42, 1.86|1.48, 0.42, 1.95
1.70, 0.40, 1.91|1.53, 0.40, 1.96
1.76, 0.41, 1.98|1.57, 0.40, 1.96
1.82, 0.41, 2.02|1.63, 0.40, 1.97
1.87, 0.40, 2.05|1.68, 0.40, 1.98
1.90, 0.38, 2.03|1.74, 0.38, 1.98
1.97, 0.41, 2.03|1.81, 0.39, 1.99
2.03, 0.44, 1.99|1.89, 0.42, 1.99
2.07, 0.45, 1.97|1.96, 0.44, 1.99
2.09, 0.47, 1.94|2.01, 0.46, 2.00
2.13, 0.46, 1.94|2.06, 0.46, 2.00
2.15, 0.46, 1.93|2.10, 0.47, 2.00
2.19, 0.44, 1.94|2.15, 0.46, 1.99
2.21, 0.43, 1.95|2.18, 0.45, 1.99
2.26, 0.37, 2.00|2.21, 0.40, 1.99
2.30, 0.31, 2.04|2.26, 0.34, 1.98
2.33, 0.28, 2.05|2.31, 0.30, 2.01
2.39, 0.35, 1.93|2.39, 0.34, 2.00
2.43, 0.33, 1.94|2.44, 0.33, 2.00
2.48, 0.31, 1.97|2.49, 0.31, 2.00
2.51, 0.29, 1.98|2.54, 0.29, 2.00
2.50, 0.29, 1.89|2.57, 0.28, 1.99
2.51, 0.29, 1.85|2.61, 0.27, 1.98
2.56, 0.32, 1.84|2.64, 0.31, 1.96
2.61, 0.31, 1.88|2.69, 0.30, 1.94
2.50, 0.24, 1.63|2.71, 0.24, 1.91
2.51, 0.29, 1.64|2.74, 0.25, 1.88
2.56, 0.29, 1.72|2.77, 0.26, 1.86
2.56, 0.31, 1.71|2.79, 0.29, 1.84
2.57, 0.34, 1.72|2.80, 0.32, 1.82
2.56, 0.38, 1.72|2.80, 0.36, 1.80
2.56, 0.40, 1.72|2.79, 0.39, 1.79
2.56, 0.43, 1.71|2.78, 0.42, 1.77
2.59, 0.47, 1.76|2.76, 0.46, 1.76
2.59, 0.49, 1.78|2.75, 0.49, 1.75
2.60, 0.52, 1.77|2.73, 0.52, 1.74
2.60, 0.57, 1.75|2.73, 0.56, 1.74
2.55, 0.70, 1.63|2.72, 0.66, 1.72
2.53, 0.80, 1.58|2.71, 0.77, 1.70
2.51, 0.88, 1.55|2.69, 0.85, 1.67
2.51, 0.94, 1.52|2.67, 0.93, 1.65
2.48, 1.04, 1.46|2.64, 1.02, 1.62
2.52, 1.08, 1.52|2.63, 1.08, 1.59
2.53, 1.13, 1.53|2.61, 1.14, 1.56
2.54, 1.17, 1.56|2.60, 1.18, 1.54
2.53, 1.21, 1.58|2.58, 1.21, 1.53
2.52, 1.27, 1.59|2.56, 1.27, 1.53
2.50, 1.32, 1.61|2.55, 1.33, 1.52
2.49, 1.37, 1.61|2.53, 1.39, 1.52
2.49, 1.41, 1.63|2.52, 1.43, 1.52
2.48, 1.45, 1.62|2.51, 1.46, 1.51
2.49, 1.47, 1.65|2.49, 1.49, 1.51
2.46, 1.56, 1.61|2.48, 1.56, 1.48
2.48, 1.60, 1.64|2.48, 1.60, 1.48
2.50, 1.62, 1.68|2.48, 1.63, 1.50
