1.09, 1.10, 1.98 | 1.10, 1.10, 1.99 | 0.08, -0.01, 0.16 | 0.07, -0.01, 0.00
1.10, 1.12, 2.00 | 1.10, 1.11, 1.99 | 0.06, 0.03, 0.20 | 0.06, 0.03, 0.00
1.13, 1.13, 2.07 | 1.10, 1.11, 1.99 | 0.06, 0.02, 0.19 | 0.06, 0.03, 0.00
1.13, 1.15, 2.09 | 1.11, 1.12, 1.99 | 0.04, -0.00, 0.21 | 0.05, 0.00, 0.00
1.09, 1.10, 1.99 | 1.11, 1.11, 1.99 | 0.05, 0.03, 0.22 | 0.05, 0.03, 0.00
1.11, 1.13, 2.04 | 1.11, 1.12, 1.99 | 0.04, -0.02, 0.20 | 0.05, -0.01, 0.00
1.12, 1.14, 2.07 | 1.12, 1.12, 1.99 | 0.02, -0.01, 0.20 | 0.04, -0.01, 0.00
1.14, 1.17, 2.11 | 1.12, 1.13, 1.99 | 0.01, 0.00, 0.22 | 0.03, -0.00, 0.00
1.14, 1.19, 2.12 | 1.13, 1.15, 1.99 | 0.02, 0.01, 0.21 | 0.02, 0.01, 0.00
1.12, 1.13, 2.02 | 1.13, 1.14, 1.99 | 0.02, 0.00, 0.22 | 0.02, 0.01, 0.00
1.13, 1.15, 2.07 | 1.13, 1.15, 1.99 | 0.02, -0.02, 0.21 | 0.02, -0.02, 0.00
1.15, 1.16, 2.14 | 1.14, 1.15, 1.99 | 0.02, 0.00, 0.20 | 0.02, -0.00, 0.00
1.17, 1.17, 2.16 | 1.15, 1.16, 1.99 | 0.02, 0.01, 0.21 | 0.02, 0.01, 0.00
1.13, 1.15, 2.09 | 1.15, 1.16, 1.99 | 0.01, 0.01, 0.22 | 0.02, 0.01, 0.00
1.11, 1.13, 2.04 | 1.15, 1.16, 1.99 | 0.02, 0.01, 0.21 | 0.02, 0.01, 0.00
1.08, 1.11, 1.98 | 1.14, 1.15, 1.99 | 0.00, 0.01, 0.22 | 0.01, 0.01, 0.00
1.06, 1.07, 1.92 | 1.13, 1.13, 1.99 | 0.02, -0.00, 0.21 | 0.02, -0.00, 0.00
1.05, 1.08, 1.93 | 1.12, 1.12, 1.99 | -0.00, -0.01, 0.23 | 0.01, -0.01, 0.00
1.10, 1.10, 2.01 | 1.12, 1.12, 1.99 | 0.00, 0.01, 0.22 | 0.01, 0.01, 0.00
1.06, 1.10, 1.95 | 1.11, 1.11, 1.99 | -0.01, 0.01, 0.23 | -0.00, 0.01, 0.00
1.00, 1.12, 1.93 | 1.09, 1.11, 1.99 | 0.00, -0.00, 0.21 | -0.00, -0.00, 0.00
0.99, 1.07, 1.88 | 1.07, 1.10, 1.99 | -0.01, -0.01, 0.23 | -0.00, -0.01, 0.00
0.95, 1.08, 1.90 | 1.05, 1.10, 1.99 | 0.01, 0.01, 0.23 | 0.00, 0.01, 0.00
0.96, 1.05, 1.85 | 1.03, 1.09, 1.99 | 0.02, -0.01, 0.21 | 0.01, -0.01, -0.00
0.97, 1.06, 1.85 | 1.02, 1.08, 1.99 | 0.00, -0.01, 0.21 | 0.01, -0.01, -0.00
0.90, 1.00, 1.69 | 1.00, 1.06, 1.99 | 0.01, 0.00, 0.22 | 0.01, 0.00, -0.00
0.96, 1.06, 1.82 | 0.99, 1.06, 1.99 | -0.00, -0.01, 0.23 | 0.00, -0.01, -0.00
1.01, 1.09, 1.92 | 0.99, 1.06, 1.99 | -0.01, 0.02, 0.20 | -0.00, 0.02, -0.00
1.00, 1.05, 1.87 | 0.98, 1.06, 1.99 | 0.02, 0.00, 0.23 | 0.01, 0.00, -0.00
